iter	Passed	Remaining
299	5987	13971
300	6007	13950
301	6027	13931
302	6046	13909
303	6065	13885
304	6084	13864
305	6106	13849
306	6125	13826
307	6147	13811
308	6170	13798
309	6190	13778
310	6211	13760
311	6231	13740
312	6250	13719
313	6270	13699
314	6290	13679
315	6310	13658
316	6332	13643
317	6351	13620
318	6370	13600
319	6390	13580
320	6411	13562
321	6431	13542
322	6452	13523
323	6473	13505
324	6492	13484
325	6511	13463
326	6531	13442
327	6551	13422
328	6571	13401
329	6591	13381
330	6611	13363
331	6631	13343
332	6652	13323
333	6671	13303
334	6695	13290
335	6715	13271
336	6735	13251
337	6755	13231
338	6774	13210
339	6794	13189
340	6813	13167
341	6834	13148
342	6853	13128
343	6872	13106
344	6892	13084
345	6911	13063
346	6930	13043
347	6950	13022
348	6970	13001
349	6989	12981
350	7009	12961
351	7029	12940
352	7049	12920
353	7068	12898
354	7088	12879
355	7109	12860
356	7130	12842
357	7151	12825
358	7172	12806
359	7192	12786
360	7211	12765
361	7231	12744
362	7251	12724
363	7273	12709
364	7292	12687
365	7313	12669
366	7334	12650
367	7354	12629
368	7371	12606
369	7391	12585
370	7409	12562
371	7428	12541
372	7447	12519
373	7467	12499
374	7486	12477
375	7507	12459
376	7527	12439
377	7547	12419
378	7566	12398
379	7587	12379
380	7607	12360
381	7629	12343
382	7649	12322
383	7669	12302
384	7692	12287
385	7711	12266
386	7731	12246
387	7751	12226
388	7771	12206
389	7789	12183
390	7808	12162
391	7828	12141
392	7847	12120
393	7866	12099
394	7885	12078
395	7905	12057
396	7923	12035
397	7944	12015
398	7964	11996
399	7984	11976
400	8003	11955
401	8023	11935
402	8042	11914
403	8063	11894
